# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
mian shi 	面試	c=8 d=1.98038 t=18128
mian shi qing kuang 	面試情況	c=1 d=1 t=16860
mian shi ti 	面試題	c=1 d=1 t=4605
mian wan le me 	麪完了麼	c=1 d=1 t=1886
mian xiang 	面向	c=1 d=1 t=3633
mian xiu 	免修	c=1 d=1 t=26417
mian yang 	綿陽	c=1 d=1 t=8269
mian yi 	免疫	c=1 d=1 t=24975
miao 	秒	c=1 d=1 t=12868
miao miao 	喵喵	c=1 d=1 t=22652
miao miao wu 	喵喵屋	c=3 d=1.87372 t=22702
miao pai 	秒排	c=1 d=1 t=833
miao shang 	秒傷	c=2 d=1.97531 t=24964
miao shu 	描述	c=2 d=1 t=26368
mie 	咩	c=1 d=1 t=8092
min jian 	民間	c=1 d=1 t=9735
min jie 	敏捷	c=2 d=1.0099 t=9618
min sheng 	民生	c=9 d=1.99501 t=21672
min sheng zhi ben 	民生之本	c=1 d=1 t=18715
min zhu 	民主	c=16 d=3.26869 t=21864
min zhu ge ming 	民主革命	c=1 d=1 t=13918
min zhu ji zhong zhi 	民主集中制	c=1 d=1 t=14800
min zhu xian jing 	民主陷阱	c=1 d=1 t=21053
min zhu zheng zhi 	民主政治	c=2 d=1.00499 t=15426
min zhu zhu yi 	民主主義	c=1 d=1 t=14249
min zu 	民族	c=7 d=0.168932 t=21664
min zu chang sheng 	民族昌盛	c=1 d=1 t=21665
min zu gong zuo 	民族工作	c=1 d=1 t=21228
min zu tuan jie 	民族團結	c=1 d=1 t=20254
min zu yu yan 	民族語言	c=1 d=1 t=20611
ming 	名	c=5 d=1.00007 t=17386
ming cheng 	名稱	c=1 d=1 t=13816
ming ci 	名詞	c=1 d=1 t=25566
ming dan 	名單	c=2 d=1.6157 t=18214
ming hun 	冥婚	c=2 d=1.94176 t=17724
ming ling 	命令	c=5 d=0.171187 t=26693
ming ling hang 	命令行	c=3 d=2.8883 t=13243
ming mai 	命脈	c=1 d=1 t=20309
ming ming 	命名	c=1 d=1 t=14317
ming ming 	明明	c=3 d=1 t=12386
ming nian 	明年	c=7 d=1.47755 t=25994
ming nian le 	明年了	c=1 d=1 t=18675
ming pian 	名片	c=1 d=0.100002 t=22262
ming qi 	名氣	c=1 d=1 t=12693
ming que 	明確	c=3 d=1.00041 t=15589
ming que le 	明確了	c=1 d=1 t=15158
ming que ti chu 	明確提出	c=1 d=1 t=15675
ming ri 	明日	c=0 d=0.1 t=18512
ming ri fang zhou 	明日方舟	c=1 d=1 t=18513
ming shi 	明示	c=1 d=1 t=17168
ming ti 	命題	c=2 d=1.00241 t=16139
ming tian 	明天	c=16 d=2.83294 t=26184
ming wen 	明文	c=1 d=0.1 t=21299
ming wen ti chu 	明文提出	c=1 d=1 t=21300
ming xian 	明顯	c=2 d=0.1 t=20867
ming xing 	明星	c=1 d=1 t=19774
ming yi 	名義	c=0 d=0.1 t=2992
ming yi shang 	名義上	c=2 d=1.00852 t=23700
ming yun 	命運	c=1 d=1 t=21126
ming zhong 	命中	c=1 d=1 t=1660
ming zi 	名字	c=3 d=1 t=22550
mo 	摸	c=2 d=1 t=22718
mo 	磨	c=0 d=0.1 t=18907
mo 	膜	c=2 d=1.97531 t=18273
mo chu lai 	摸出來	c=1 d=1 t=18257
mo dao shi 	磨刀石	c=1 d=1 t=10337
mo duo mo duo 	摩多摩多	c=1 d=0.373439 t=26693
mo fa 	魔法	c=3 d=2.95072 t=10545
mo fa ka 	魔法卡	c=2 d=1.49659 t=6553
mo gai 	魔改	c=1 d=1 t=12856
mo gu 	蘑菇	c=1 d=1 t=22796
mo jing 	魔鏡	c=7 d=5.41792 t=7295
mo le 	摸了	c=1 d=1.099 t=5957
mo le mo le 	摸了摸了	c=1 d=1 t=5956
mo luo 	沒落	c=1 d=1 t=25033
mo ming qi miao 	莫名其妙	c=1 d=1 t=4812
mo ni 	模擬	c=3 d=0.100015 t=25953
mo ni kao 	模擬考	c=2 d=1 t=25926
mo ni le 	模擬了	c=1 d=1 t=25954
mo ni qi 	模擬器	c=5 d=2.94099 t=17702
mo ren 	默認	c=6 d=1 t=24033
mo shi 	模式	c=4 d=1 t=19092
mo shou 	魔獸	c=1 d=1 t=14555
mo shui jing 	摸水晶	c=1 d=1 t=13674
mo sun 	磨損	c=1 d=1 t=5431
mo suo 	摸索	c=1 d=1 t=11130
mo tuo che 	摩托車	c=1 d=1 t=26439
mo xian 	魔陷	c=6 d=5.1039 t=6581
mo yu 	墨魚	c=1 d=1 t=1873
mo zhang 	魔杖	c=1 d=1 t=1238
mo zhong dong 	魔鍾洞	c=4 d=3.89684 t=6802
mou 	某	c=2 d=1.88692 t=5072
mou 	謀	c=1 d=1.18789 t=20058
mou fu xing 	謀復興	c=2 d=1.9802 t=20052
mou ge 	某個	c=3 d=1.00014 t=13576
mou ge ti 	某個題	c=1 d=1 t=5349
mou hua 	謀劃	c=1 d=1 t=20468
mou shi 	某時	c=1 d=1 t=5705
mou xie 	某些	c=3 d=1 t=11171
mou xing fu 	謀幸福	c=3 d=2.92654 t=20055
mu 	暮	c=0 d=0.1 t=17807
mu ban 	模板	c=6 d=0.201897 t=26693
mu biao 	目標	c=12 d=1.00078 t=23206
mu biao ren wu 	目標任務	c=1 d=1 t=15486
mu ce 	目測	c=1 d=1 t=3960
mu di 	目的	c=4 d=1 t=25508
mu gong 	木工	c=1 d=1 t=17411
mu guang zhi cheng 	暮光之城	c=1 d=1 t=17808
mu ke 	慕課	c=4 d=2.73978 t=17504
mu lin 	木林	c=0 d=0.1 t=23850
mu lu 	目錄	c=3 d=1.27253 t=23656
mu qian 	目前	c=4 d=1 t=19501
mu qu 	牧區	c=1 d=1 t=23654
mu si 	姆斯	c=0 d=0.1 t=24171
na 	哪	c=3 d=1.84366 t=13122
na 	拿	c=7 d=1.00005 t=24749
na 	那	c=15 d=0.0341298 t=26693
na ben 	那本	c=1 d=1 t=19793
na bi ding 	那必定	c=1 d=1 t=19827
na bian 	那邊	c=9 d=1.18544 t=22682
na bian le 	那邊了	c=1 d=1 t=13597
na bu 	哪部	c=1 d=1 t=13305
na bu shi 	那不是	c=2 d=1 t=7004
na bu zhi yu 	那不至於	c=1 d=1 t=25645
na ci 	那次	c=2 d=1 t=16234
na dao 	拿到	c=2 d=0.100313 t=6252
na dao che 	拿到車	c=1 d=1 t=6253
na de 	拿得	c=1 d=1 t=4762
na duan 	那段	c=0 d=0.1 t=3282
na duan shi jian 	那段時間	c=1 d=1 t=3283
na fang mian 	哪方面	c=1 d=1 t=3589
na ge 	哪個	c=14 d=2.00836 t=17507
na ge 	那個	c=64 d=0.184439 t=26693
na ge biao 	那個表	c=1 d=1 t=10436
na ge jia 	那個價	c=1 d=1 t=13170
na ge ma 	那個嗎	c=2 d=0.382893 t=26693
na ge shi 	那個是	c=0 d=0.1 t=6249
na ge shi hou 	那個時候	c=2 d=1.96561 t=8838
na ge tu 	那個圖	c=1 d=1 t=3835
na guan 	那關	c=1 d=1 t=22565
na hai 	那還	c=3 d=1 t=23042
na hai xing 	那還行	c=1 d=1 t=12221
na ji ge 	那幾個	c=0 d=0.1 t=16174
na ji ge ren 	那幾個人	c=1 d=1 t=16175
na jia 	哪家	c=2 d=1 t=11459
na jia 	那家	c=4 d=1 t=16907
na jiang 	那將	c=0 d=0.1 t=16313
na jiang hui shi 	那將會是	c=1 d=1 t=16314
na jie 	納傑	c=1 d=1 t=5876
na jin bi 	拿金幣	c=1 d=1 t=8436
na jiu 	那就	c=12 d=0.245367 t=26693
na jiu shi 	那就是	c=2 d=1.07208 t=26099
na jiu zhao 	那就找	c=1 d=1 t=17799
na ju hua 	那句話	c=1 d=1 t=6752
na ke neng 	那可能	c=1 d=1 t=9481
na lai 	拿來	c=1 d=1 t=23196
na lai de 	哪來的	c=1 d=1 t=10024
na li 	哪裏	c=5 d=1 t=25419
na li 	那裏	c=3 d=1 t=23416
na li de 	哪裏的	c=1 d=1 t=12614
na li you 	哪裏有	c=1 d=1 t=1440
na liang ge 	那兩個	c=1 d=1 t=1434
na liang zhang tu 	那兩張圖	c=1 d=1 t=7150
na me 	那麼	c=9 d=1 t=24536
na me da 	那麼大	c=1 d=1 t=12198
na me duo 	那麼多	c=4 d=1 t=23163
na me gui 	那麼貴	c=0 d=0.1 t=5845
na me huo yue 	那麼活躍	c=1 d=1 t=16172
na me xiao 	那麼小	c=1 d=1 t=12209
na me zao 	那麼早	c=1 d=1 t=19586
na mei fa 	那沒法	c=1 d=1 t=8925
na mei shi le 	那沒事了	c=7 d=1 t=26048
na mi 	納米	c=1 d=0.100307 t=19530
na mi lao shi 	納米老師	c=1 d=1 t=19531
na ni 	拿你	c=1 d=1 t=3571
na ni 	那你	c=8 d=1 t=24771
na ni mai 	那你買	c=1 d=0.343009 t=26693
na ni shi 	那你是	c=1 d=1 t=22123
na nian 	那年	c=0 d=0.1 t=19534
na nian xia tian 	那年夏天	c=1 d=1 t=19535
na pian 	那篇	c=1 d=1 t=3008
na qi 	那期	c=1 d=1 t=7124
na qu 	拿去	c=1 d=1 t=24791
na qu na a 	那去哪啊	c=1 d=1 t=12734
na que shi 	那確實	c=5 d=1 t=17891
na que shi shi 	那確實是	c=1 d=1 t=3095
na ru 	納入	c=1 d=1 t=20647
na shi 	那是	c=3 d=1 t=25492
na shi hou 	那時候	c=0 d=0.1 t=24464
na shi sha 	那是啥	c=4 d=1 t=23753
na shi wo 	那是我	c=1 d=1 t=6526
na tao 	那套	c=2 d=1 t=13572
na tian 	那天	c=1 d=1 t=3136
na wan 	拿完	c=1 d=1 t=23216
na wan yi 	那玩意	c=8 d=1.5627 t=24727
na wei 	哪位	c=2 d=0.331211 t=26693
na wei sha yao jing 	那爲啥要井	c=1 d=1 t=3896
na wo 	拿我	c=3 d=0.1 t=24746
na wo 	那我	c=2 d=0.188922 t=25266
na wo jian yi 	拿我建議	c=1 d=1 t=24747
na wo zhi neng shuo 	那我只能說	c=1 d=1 t=25267
na wu an 	那午安	c=1 d=1 t=7517
na xie 	哪些	c=1 d=1.0017 t=24066
na xie 	那些	c=5 d=1.00069 t=18119
na xie pai 	哪些牌	c=1 d=1 t=23252
na yang 	哪樣	c=1 d=1 t=16372
na yang 	那樣	c=3 d=1 t=23497
na yang zi 	那樣子	c=0 d=0.1 t=7967
na yang zi le 	那樣子了	c=1 d=1 t=7968
na yao 	那要	c=2 d=1 t=11516
na yi 	那一	c=0 d=0.1 t=11394
na yi jia zi 	那一家子	c=1 d=1 t=11395
na yi ju 	那一句	c=1 d=1 t=17547
na yi mian 	那一面	c=1 d=1 t=18289
na yi tian 	那一天	c=1 d=1 t=25474
na yi xia 	那一下	c=1 d=1 t=4403
na ying gai 	那應該	c=1 d=1 t=850
na zhe yang 	那這樣	c=1 d=1 t=23447
na zhong 	哪種	c=0 d=0.1 t=26083
na zhong 	那種	c=14 d=1.06236 t=26313
na zhong yi yi 	哪種意義	c=1 d=1 t=26084
na zhong yi yi 	那種意義	c=1 d=1 t=16803
nai 	奶	c=3 d=1 t=18954
nai cha 	奶茶	c=0 d=0.1 t=16915
nai lao 	奶酪	c=1 d=1 t=19780
nai nai 	奶奶	c=1 d=1 t=19725
nan 	男	c=2 d=1 t=12397
nan 	難	c=3 d=2.08034 t=6374
nan bei 	難背	c=1 d=1 t=24254
nan chang 	南昌	c=1 d=1 t=21838
nan chang qi yi 	南昌起義	c=1 d=1 t=21833
nan dao 	難道	c=10 d=1 t=19734
nan dao bu rang ni 	難倒不讓你	c=1 d=1 t=5710
nan dao bu shi 	難道不是	c=2 d=1 t=16744
nan de 	男的	c=7 d=5.32103 t=4077
nan du 	難度	c=1 d=1 t=24124
nan dui fu de 	男對付的	c=1 d=1 t=5692
nan fang 	南方	c=0 d=0.1 t=15017
nan fang tan hua 	南方談話	c=1 d=1 t=15018
nan hun 	男魂	c=1 d=1 t=19647
nan jing 	南京	c=1 d=1 t=9419
nan shou 	難受	c=2 d=1 t=24259
nan shou de 	難受的	c=1 d=1 t=16710
nan ti 	難題	c=0 d=0.1 t=15874
nan xing 	男性	c=1 d=1 t=872
nan yi 	難以	c=1 d=1 t=21044
nan yi dian 	難一點	c=1 d=1 t=6369
nan yi dui fu 	難以對付	c=1 d=1 t=5679
nan yi yan yu 	難以言喻	c=1 d=1 t=713
nan yong 	難用	c=1 d=1 t=8906
nao 	惱	c=2 d=1 t=16896
nao bai jin 	腦白金	c=1 d=1 t=19841
nao huo 	惱火	c=0 d=0.1 t=3369
nao yi xue 	腦溢血	c=3 d=1.00069 t=4530
nao yi xue le 	腦溢血了	c=1 d=1 t=732
nao zi 	腦子	c=1 d=1 t=10982
nao zi li 	腦子裏	c=1 d=1 t=11058
ne 	呢	c=29 d=1.04525 t=24994
nei 	內	c=2 d=1 t=18515
nei cun 	內存	c=15 d=1 t=23434
nei han 	內涵	c=1 d=1 t=15671
nei he 	內核	c=1 d=1 t=12991
nei mu 	內幕	c=1 d=1 t=8858
nei rong 	內容	c=40 d=1 t=26155
nei xin 	內心	c=1 d=1 t=4002
nei zheng 	內政	c=1 d=1 t=21376
neng 	能	c=38 d=2.75172 t=26672
neng bi 	能比	c=1 d=1 t=18175
neng bu neng 	能不能	c=6 d=1.90937 t=17349
neng da 	能打	c=1 d=1 t=9385
neng fou 	能否	c=1 d=1 t=5943
neng gan 	能幹	c=0 d=0.1 t=5768
neng gan de 	能幹的	c=1 d=1 t=5769
neng gou 	能夠	c=1 d=1 t=10791
neng li 	能力	c=6 d=0.977996 t=15810
neng li jie 	能理解	c=1 d=0.1 t=24286
neng li qiang 	能力強	c=1 d=1 t=5763
neng ren ding 	能認定	c=1 d=1 t=24065
neng shuo 	能說	c=1 d=1 t=4584
neng wan 	能玩	c=0 d=0.1 t=908
neng yong 	能用	c=1 d=1 t=5253
neng zai 	能再	c=0 d=0.1 t=5310
ni 	你	c=68 d=0.713567 t=26693
ni 	尼	c=5 d=0.1 t=24588
ni 	泥	c=1 d=1 t=3071
ni 	逆	c=1 d=0.221467 t=5406
ni a 	你啊	c=1 d=1 t=12822
ni ba 	你把	c=4 d=1 t=20802
ni bei 	你被	c=1 d=1 t=24442
ni bian le 	尼變了	c=1 d=1 t=1530
ni bo er 	尼泊爾	c=1 d=1 t=12165
ni bu 	你不	c=0 d=0.1 t=6760
ni bu hui 	你不會	c=1 d=1 t=4566
ni bu ke neng 	你不可能	c=1 d=1 t=6761
ni bu neng 	你不能	c=1 d=1 t=10091
ni bu shi 	你不是	c=3 d=1.00002 t=11280
ni bu shi shui le ma 	你不是睡了嗎	c=1 d=1 t=753
ni bu shi shuo 	你不是說	c=0 d=0.1 t=3091
ni bu shi shuo de 	你不是說的	c=1 d=1 t=3092
ni bu xiang xiang 	你不想想	c=1 d=1 t=13562
ni bu zhi dao 	你不知道	c=1 d=1 t=23624
ni cha 	逆差	c=1 d=1 t=19917
ni chao de 	你抄的	c=1 d=1 t=4270
ni chu de ti 	你出的題	c=1 d=1 t=5298
ni chu lai le 	逆出來了	c=1 d=1 t=1604
ni da gai 	你大概	c=1 d=1 t=23330
ni de 	你的	c=14 d=1.03942 t=25513
ni dian 	你電	c=8 d=3.47264 t=25448
ni dong 	你懂	c=0 d=0.1 t=12727
ni dong sha 	你懂啥	c=1 d=1 t=12728
ni dou 	你都	c=2 d=1 t=13431
ni dou bu zhi dao 	逆都不知道	c=1 d=1 t=5407
ni er 	尼爾	c=1 d=1 t=18527
ni fa xian le 	你發現了	c=1 d=1 t=13640
ni gan 	你敢	c=1 d=1 t=8774
ni ge 	倪歌	c=1 d=1 t=6331
ni gei 	你給	c=1 d=1 t=6920
ni gei wo 	你給我	c=0 d=0.1 t=26107
ni gei wo qian 	你給我錢	c=1 d=1 t=26108
ni hai 	你還	c=2 d=0.1 t=25926
ni hai huang 	你還慌	c=1 d=1 t=25927
ni hai ji de 	你還記得	c=2 d=1 t=17501
ni hai si kao 	你還思考	c=1 d=1 t=9266
ni hai xiang 	你還想	c=1 d=1 t=7935
ni hai yao 	你還要	c=1 d=0.1 t=13282
ni hai yao me 	你還要麼	c=1 d=1 t=13283
ni hai you 	你還有	c=1 d=1 t=23484
ni hao 	你好	c=2 d=1 t=19056
ni he 	你和	c=1 d=1 t=2191
ni he de sha 	你喝的啥	c=1 d=1 t=7579
ni hong 	霓虹	c=2 d=1.00007 t=26060
ni hong shen yuan 	霓虹深淵	c=1 d=1 t=23971
ni hui 	你會	c=1 d=1 t=24317
ni jia 	你家	c=1 d=1 t=10802
ni jian jian 	你漸漸	c=1 d=1 t=3395
ni jiao 	你叫	c=1 d=1 t=9748
ni jiu 	你就	c=1 d=1 t=9169
ni jiu lai 	你就來	c=1 d=1 t=18628
ni ju ran 	你居然	c=1 d=1 t=8066
ni jue de 	你覺得	c=0 d=0.1 t=8109
ni kai 	你開	c=1 d=1 t=12756
ni kan 	你看	c=6 d=0.100101 t=25052
ni kan kan 	你看看	c=2 d=1.00047 t=12749
ni kan zhe li 	你看這裏	c=1 d=1 t=25053
ni ke bo la si 	尼可波拉斯	c=1 d=1 t=8409
ni ke neng shi 	你可能是	c=1 d=1 t=5720
ni ke yi 	你可以	c=16 d=1.08929 t=24509
ni lin jie biao 	逆鄰接表	c=1 d=1 t=4619
ni ma 	尼瑪	c=0 d=0.1 t=17266
ni mai 	你買	c=0 d=0.0680892 t=26693
ni mai ba 	你買吧	c=1 d=0.341298 t=26693
ni mei 	你沒	c=2 d=1.00004 t=18102
ni mei chi fan 	你沒喫飯	c=1 d=1 t=13144
ni mei jian guo 	你沒見過	c=1 d=1 t=16549
ni men 	你們	c=51 d=1.37877 t=25891
ni men a 	你們啊	c=1 d=1 t=17147
ni men shi shuo 	你們是說	c=1 d=1 t=22724
ni men shuo 	你們說	c=1 d=1 t=16839
ni mian fei yong 	你免費用	c=1 d=1 t=12329
ni mu 	尼木	c=1 d=1 t=8380
ni na ge 	你那個	c=1 d=1 t=18263
ni neng 	你能	c=1 d=1 t=18127
ni quan 	你圈	c=1 d=1 t=11473
ni qun 	你羣	c=8 d=1 t=22912
ni ren wu shu 	你任務書	c=1 d=1 t=5938
ni sheng 	擬聲	c=1 d=1 t=6060
ni shi 	你室	c=1 d=1 t=6242
ni shi 	你是	c=6 d=1.00291 t=24591
ni shi bu shi 	你是不是	c=2 d=1 t=23433
ni shi shuo de 	你是說的	c=1 d=1 t=11962
ni shi yao 	你是要	c=2 d=1 t=24705
ni shou xian 	你首先	c=1 d=1 t=3781
ni shuo 	你說	c=5 d=0.205975 t=26693
ni shuo de 	你說的	c=4 d=1.21981 t=12313
ni tian 	逆天	c=2 d=1.97045 t=16806
ni tuo pu pai xu 	逆拓撲排序	c=1 d=1 t=5219
ni wang hou 	你往後	c=1 d=1 t=24074
ni wei sha 	你爲啥	c=1 d=1 t=18068
ni xia de 	尼下的	c=1 d=1 t=8216
ni xian 	你先	c=3 d=1 t=9099
ni xian shi qi 	你顯示器	c=1 d=1 t=9056
ni xian zai 	你現在	c=1 d=1 t=26497
ni xiang 	你想	c=3 d=1 t=12939
ni xiang 	逆向	c=1 d=1 t=1617
ni xiang mai 	你想買	c=1 d=0.357007 t=26693
ni xiang xiang 	你想想	c=2 d=1 t=11393
ni xiang yao 	你想要	c=1 d=1 t=399
ni xiao 	你笑	c=1 d=1 t=17776
ni xie de 	你寫的	c=1 d=1 t=16414
ni xuan 	你選	c=2 d=1.97531 t=6729
ni yao 	你要	c=8 d=1.21011 t=26000
ni yao bu 	你要不	c=1 d=0.1 t=22260
ni yao bu kan kan 	你要不看看	c=1 d=1 t=22261
ni yao dao 	你要到	c=1 d=1 t=23652
ni yao shuo 	你要說	c=1 d=1 t=12478
ni yao xiang 	你要想	c=1 d=1 t=11213
ni yao yong 	你要用	c=1 d=1 t=17994
ni yao zheng ming 	你要證明	c=1 d=1 t=8130
ni yao zhi dao 	你要知道	c=1 d=1 t=2054
ni ye 	你也	c=2 d=1 t=12713
ni ye zhi dao 	你也知道	c=1 d=1 t=5297
ni yong 	你用	c=1 d=0.1 t=23640
ni yong de 	你用的	c=1 d=1 t=23641
ni you 	你有	c=2 d=0.277171 t=2065
ni you 	你遊	c=1 d=1 t=19821
ni you ke neng 	你有可能	c=1 d=1 t=19180
ni you mei you fa xian 	你有沒有發現	c=1 d=1 t=2066
ni yuan 	你院	c=1 d=1 t=5979
ni yuan 	匿怨	c=1 d=1 t=5978
ni za tian 	你咋填	c=1 d=1 t=5959
ni zai 	你在	c=3 d=1 t=19157
ni zai na 	尼在哪	c=1 d=1 t=24589
ni zen me 	你怎麼	c=3 d=1 t=16554
ni zhao 	你找	c=1 d=1.05092 t=9060
ni zhao bie ren ba 	你找別人吧	c=1 d=1 t=8926
ni zhao bu dao 	你找不到	c=1 d=1 t=19192
ni zhe 	你這	c=4 d=1.00024 t=22484
ni zhe bian 	你這邊	c=1 d=1 t=21486
ni zhe ge 	你這個	c=5 d=0.1 t=22414
ni zhe ge shi 	你這個是	c=1 d=1 t=22415
ni zhe li 	你這裏	c=1 d=1 t=16438
ni zhe liang ge 	你這兩個	c=1 d=1 t=7666
ni zhe me 	你這麼	c=1 d=1 t=547
ni zhe me xiang 	你這麼想	c=1 d=1 t=10077
ni zhe shi 	你這是	c=3 d=1 t=16752
ni zhe yang 	你這樣	c=1 d=1 t=3987
ni zheng le ma 	你整了嗎	c=1 d=1 t=4589
ni zhi dao 	你知道	c=0 d=0.1 t=22842
ni zhi dao ma 	你知道嘛	c=1 d=1 t=22843
ni zhi jie 	你直接	c=3 d=1.65705 t=10832
ni zhi qian 	你之前	c=3 d=1.00014 t=7886
ni zhong yu 	你終於	c=1 d=1 t=6252
ni zhua bu dao 	你抓不到	c=1 d=1 t=10666
ni zhuang le 	你裝了	c=1 d=1 t=23776
ni zi ji 	你自己	c=1 d=1 t=5405
nian 	年	c=55 d=1.30983 t=21023
nian dai 	年代	c=1 d=1 t=8057
nian di 	年底	c=1 d=1 t=23950
nian nian 	年年	c=1 d=1 t=24761
nian qing 	年輕	c=1 d=1 t=9408
niang niang 	娘娘	c=1 d=1 t=22975
niao 	鳥	c=0 d=0.1 t=3623
niao yang 	鳥樣	c=1 d=1 t=18311
nie 	捏	c=3 d=1 t=16395
nie nie 	捏捏	c=0 d=0.1 t=22583
nie nie qian 	捏捏謙	c=1 d=1 t=22584
nin 	您	c=5 d=0.1 t=26171
ning ju 	凝聚	c=3 d=2.87912 t=1380
ning meng 	檸檬	c=1 d=1 t=17051
niu 	扭	c=1 d=1 t=17675
niu 	牛	c=5 d=1.99501 t=16996
niu niu 	牛牛	c=2 d=1 t=17135
nong 	弄	c=1 d=1 t=13429
nong geng 	農耕	c=1 d=1 t=26372
nong huai le 	弄壞了	c=1 d=1 t=17348
nong min 	農民	c=1 d=1 t=15221
nong ye 	農業	c=1 d=1 t=15211
nong ye guo 	農業國	c=1 d=1 t=14428
nu bi 	奴婢	c=2 d=1.8825 t=23004
nu li 	努力	c=1 d=1 t=15980
nu li shi xian 	努力實現	c=1 d=1 t=15706
nuan nuan 	暖暖	c=1 d=1 t=20821
nuan qi 	暖氣	c=1 d=1 t=1868
nv 	女	c=2 d=1.91851 t=4088
nv er 	女兒	c=1 d=1 t=23034
nv hai zi 	女孩子	c=1 d=1 t=19651
nv li 	女隸	c=1 d=1 t=15978
nv ren 	女人	c=1 d=1 t=6335
nv shen 	女神	c=2 d=1.80097 t=821
nv sheng 	女生	c=1 d=1 t=4022
nv tong 	女銅	c=1 d=1 t=8754
o 	哦	c=49 d=1.40908 t=26503
o bu 	哦不	c=2 d=0.325373 t=9894
o bu dui 	哦不對	c=2 d=1 t=19609
o bu shi 	哦不是	c=1 d=1 t=9895
o cao 	哦草	c=2 d=1 t=9645
o dui 	哦堆	c=2 d=1 t=17069
o o 	哦哦	c=1 d=1 t=11560
ou xiang 	偶像	c=1 d=1.07531 t=5933
ou xiang da shi 	偶像大師	c=1 d=1 t=5934
pa 	怕	c=3 d=0.2334 t=26693
pa 	爬	c=1 d=1 t=18985
pa bu shi 	怕不是	c=2 d=1 t=4752
pa shang 	爬上	c=1 d=1 t=23604
pa shi 	怕是	c=0 d=0.1 t=24996
pa shi you 	怕是有	c=1 d=1 t=24997
pa zai 	趴在	c=0 d=0.1 t=18069
pa zai di shang 	趴在地上	c=1 d=1 t=18070
pai 	拍	c=5 d=1.98511 t=18422
pai 	排	c=2 d=0.1 t=19047
pai 	派	c=25 d=2.52675 t=23021
pai 	牌	c=15 d=1.03483 t=25939
pai bei 	牌背	c=3 d=1.73345 t=9483
pai biao 	牌表	c=1 d=1 t=9511
pai bie 	派別	c=1 d=0.1 t=13874
pai bu 	排布	c=1 d=1 t=12064
pai bu dao ren 	排不到人	c=1 d=1 t=19048
pai bu hao 	牌不好	c=1 d=1 t=25912
pai bu shang 	排不上	c=1 d=1 t=8335
pai cha 	排查	c=0 d=0.1 t=26474
pai cha chu 	排查出	c=2 d=1.9802 t=26479
pai cheng 	拍成	c=2 d=1 t=23627
pai chu 	排除	c=1 d=0.1 t=23690
pai chu zai wai 	排除在外	c=1 d=1 t=23691
pai dian 	牌電	c=1 d=1 t=23256
pai dui 	排隊	c=1 d=1 t=19030
pai ku 	牌庫	c=2 d=1.06361 t=10651
pai lao 	牌佬	c=1 d=1 t=7173
pai lao shi 	派老師	c=1 d=1 t=2832
pai le 	排了	c=1 d=1 t=828
pai mian 	牌面	c=1 d=1 t=1004
pai ming 	排名	c=1 d=1 t=9474
pai ming 	牌名	c=3 d=1 t=23569
pai wan 	拍完	c=1 d=1 t=25136
pai xia qu 	拍下去	c=1 d=1 t=7475
pai xiao 	牌效	c=3 d=2.29002 t=25894
pai xu 	排序	c=5 d=1.00045 t=6958
pai xu fang fa 	排序方法	c=1 d=1 t=4962
pai zai 	排在	c=2 d=1.55156 t=5003
pai zhao 	拍照	c=1 d=1 t=18071
pai zu 	牌組	c=1 d=1 t=4273
pan 	盤	c=2 d=1 t=22807
pan bie 	判別	c=2 d=1.50028 t=26693
pan ding 	判定	c=1 d=1 t=24941
pan ding shu 	判定樹	c=1 d=1 t=5479
pan duan 	判斷	c=8 d=0.759572 t=26693
pan duan yi xia 	判斷一下	c=1 d=1 t=16460
pang bian 	旁邊	c=1 d=1 t=22290
pao 	炮	c=1 d=0.1 t=25915
pao 	跑	c=2 d=1 t=23877
pao bu 	跑步	c=1 d=1 t=1384
pao bu dong 	跑不動	c=1 d=1 t=4598
pao che 	跑車	c=2 d=1 t=20819
pao dao 	跑到	c=1 d=1 t=1385
pao ji 	炮擊	c=1 d=1 t=16545
pao ji 	炮機	c=1 d=1 t=16551
pao jia 	炮架	c=1 d=1 t=1723
pao le 	跑了	c=1 d=1 t=22477
pao lu 	跑路	c=1 d=1 t=17233
pao shui 	泡水	c=0 d=0.1 t=4599
pao shui le 	泡水了	c=1 d=1 t=4600
pao tuan 	跑團	c=2 d=1.98511 t=9192
pei 	呸	c=3 d=1 t=19672
pei 	配	c=7 d=1.0008 t=17716
pei 	陪	c=1 d=1 t=25411
pei bu shang 	配不上	c=1 d=1 t=22973
pei he 	配合	c=2 d=1 t=19854
pei jian 	配件	c=1 d=1 t=10300
pei lie 	配列	c=2 d=1.96561 t=16309
pei lie 	配獵	c=1 d=1 t=16301
pei ni 	陪你	c=0 d=0.1 t=24185
pei ni le 	陪你了	c=1 d=1 t=24186
pei se 	配色	c=4 d=2.97836 t=26693
pei se fang an 	配色方案	c=1 d=0.913931 t=26693
pei zhi 	配置	c=28 d=1.00419 t=26495
pei zhi wen jian 	配置文件	c=1 d=1 t=12966
pen 	噴	c=1 d=1 t=17186
